id,email,full_name,password_hash,status,mfa_enabled,last_login_at,failed_login_count,locked_until,created_at,updated_at
49d11b97-7c72-49ce-84b3-5fac923e716e,super.admin@bua.test,Platform Super Admin,[redacted],active,t,2026-09-04 02:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
60694a33-64df-4703-bb1f-20bc3948e683,asset.admin@bua.test,Hala Rashad,[redacted],active,t,2026-09-15 17:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
b556717b-a757-49e7-8859-2d3aeca41e88,eng.admin@bua.test,Tarek Selim,[redacted],active,f,2026-09-12 01:36:10.142818+00,0,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
f4f9be59-90a4-4645-9907-3a1110570d64,ai.admin@bua.test,Nour Fahmy,[redacted],active,f,2026-09-16 07:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
a88277d6-7193-4856-b318-4d7fb0af2f58,procurement@bua.test,Mostafa Adel,[redacted],active,t,2026-09-02 21:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
d1897fd4-bfcd-4ae2-9116-db7e3407cd59,finance.view@bua.test,Rania Gamal,[redacted],active,f,2026-09-06 13:36:10.142818+00,0,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
22e61621-8203-4465-a5c1-285eb61ed02a,purchasing@bua.test,Sherif Lotfy,[redacted],active,f,2026-09-16 02:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
1c4df881-cca6-49a3-9b2e-6a87a781ef63,cs.manager@bua.test,Ahmed Shawky,[redacted],active,f,2026-09-07 05:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
05d038a0-b4a2-40fb-9ac6-eecfcf9cda47,ee.manager@bua.test,Omar Zaki,[redacted],active,f,2026-09-04 17:36:10.142818+00,0,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
8703fd82-ea7e-461c-bacc-18cd5a7c3d3b,ai.manager@bua.test,Salma Ibrahim,[redacted],active,f,2026-09-05 21:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
176f3f16-3ab1-409e-8c10-9631bea0edcc,ds.manager@bua.test,Youssef Kamal,[redacted],active,f,2026-09-04 00:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
6ff17eb7-5c04-40ff-83f8-043b4cb1c45c,fin.manager@bua.test,Mona Abdel Aziz,[redacted],active,f,2026-09-15 19:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
750c04a5-63c4-42c6-a7c4-b3aa1de4eebf,fm.manager@bua.test,Hany Bakr,[redacted],active,f,2026-09-11 08:36:10.142818+00,0,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
074adb51-413b-4a95-a297-532a23028420,tech.one@bua.test,Mahmoud Saber,[redacted],active,f,2026-09-18 15:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
316fff45-4cbd-4c5f-aa69-23e361e9fdb0,tech.two@bua.test,Kareem Nabil,[redacted],active,f,2026-09-08 18:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
dac8cfc5-9369-4ddd-93a4-0a33c40b54b1,tech.three@bua.test,Aya Mansour,[redacted],active,f,2026-09-07 07:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
c2f8c8e5-af2d-4fa5-bef8-f8c299334c4a,tech.four@bua.test,Islam Fathy,[redacted],active,f,2026-09-15 22:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
b0b54190-fcf5-486a-aa97-94a938211aec,tech.five@bua.test,Nadia Sobhy,[redacted],active,f,2026-09-20 03:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
089d3e35-dd8e-48ab-991e-a8f94ccfd969,tech.six@bua.test,Waleed Amer,[redacted],active,f,2026-09-05 02:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
76368d26-ee94-46f4-a13e-259a7f0ce5dc,auditor@bua.test,Dina Farouk,[redacted],active,t,2026-09-11 04:36:10.142818+00,2,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
045d7fdc-085d-4681-9f88-1d8b262ba961,auditor.two@bua.test,Sameh Ragab,[redacted],active,f,2026-09-17 07:36:10.142818+00,0,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
63cfd2c4-2600-45b5-8925-b1c9ff6c04ee,disposal.board@bua.test,Hossam El-Deen,[redacted],active,t,2026-09-19 03:36:10.142818+00,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
d6a6435c-8728-43ae-9329-dfb5a8d63e74,former.staff@bua.test,Former Staff Account,[redacted],disabled,f,,1,,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
d56ed0bc-14f2-4ec0-bfa7-17251f5a9deb,locked.user@bua.test,Locked Test Account,[redacted],locked,f,,5,2026-09-21 13:06:10.142818+00,2026-09-21 12:36:10.142818+00,2026-09-21 12:36:10.142818+00
